4-13-0 ->4-15-0	0->3.0049 3.0049
4-15-0 ->4-17-0	3.0049->6.09949 3.09459
4-17-0 ->4-19-0	6.09949->9.23403 3.13454
4-19-0 ->4-21-0	9.23403->12.2282 2.99416
4-21-0 ->4-23-0	12.2282->15.247 3.0188
4-23-0 ->4-25-0	15.247->18.3297 3.0827
4-25-0 ->4-27-0	18.3297->21.4542 3.12447
4-27-0 ->4-29-0	21.4542->24.4543 3.00013
4-29-0 ->4-31-0	24.4543->27.5863 3.132
4-31-0 ->4-33-0	27.5863->30.5653 2.979
car1:
4-20-1 ->4-20-0	0->3.15219 3.15219
4-20-0 ->4-21-0	3.15219->12.4686 9.31646
4-21-0 ->4-23-0	12.4686->17.077 4.60831
4-23-0 ->4-25-0	17.077->21.4807 4.40372
4-25-0 ->4-27-0	21.4807->25.9436 4.46295
4-27-0 ->4-29-0	25.9436->30.2294 4.28575
4-29-0 ->4-31-0	30.2294->34.7037 4.47429
4-31-0 ->4-34-0	34.7037->44.6939 9.99027
4-34-0 ->4-34-1	44.6939->47.7685 3.07454
4-34-1 ->4-34-2	47.7685->52.7766 5.00816
4-34-2 ->4-34-3	52.7766->57.6066 4.82993
4-34-3 ->4-34-4	57.6066->62.5607 4.95413
4-34-4 ->4-34-5	62.5607->67.562 5.00127
car2:
