7-6-1 ->7-6-0	0->0.500733 0.500733
7-6-0 ->7-5-0	0.500733->0.980745 0.480012
7-5-0 ->7-7-0	0.980745->2.22709 1.24634
7-7-0 ->7-8-0	2.22709->3.1464 0.919315
7-8-0 ->6-8-0	3.1464->4.41486 1.26846
6-8-0 ->6-9-0	4.41486->7.82526 3.4104
6-9-0 ->6-10-0	7.82526->9.03005 1.20479
6-10-0 ->6-11-0	9.03005->11.5213 2.49124
6-11-0 ->5-1-0	11.5213->12.7077 1.18639
5-1-0 ->5-2-0	12.7077->14.3636 1.65588
5-2-0 ->5-4-0	14.3636->14.7744 0.410849
5-4-0 ->5-6-0	14.7744->15.1274 0.353045
5-6-0 ->5-8-0	15.1274->15.4297 0.302216
5-8-0 ->5-10-0	15.4297->15.7284 0.298771
5-10-0 ->5-12-0	15.7284->16.0388 0.310337
5-12-0 ->5-14-0	16.0388->16.344 0.305229
5-14-0 ->5-16-0	16.344->16.6486 0.30461
5-16-0 ->5-18-0	16.6486->16.9566 0.308036
5-18-0 ->5-20-0	16.9566->17.2602 0.303584
5-20-0 ->5-22-0	17.2602->17.5632 0.302966
5-22-0 ->5-24-0	17.5632->17.8694 0.306171
5-24-0 ->5-26-0	17.8694->18.1704 0.301065
5-26-0 ->5-28-0	18.1704->18.4763 0.305841
5-28-0 ->5-30-0	18.4763->18.7788 0.302548
5-30-0 ->5-31-0	18.7788->19.6574 0.878586
5-31-0 ->5-31-1	19.6574->20.1738 0.516408
5-31-1 ->5-31-2	20.1738->20.4914 0.317603
5-31-2 ->5-31-3	20.4914->20.8382 0.346781
5-31-3 ->5-31-4	20.8382->21.1815 0.343296
5-31-4 ->5-31-5	21.1815->21.5235 0.341991
car1:
5-27-5 ->5-27-4	0->0.825404 0.825404
5-27-4 ->5-27-3	0.825404->1.17334 0.347939
5-27-3 ->5-27-2	1.17334->1.52336 0.350021
5-27-2 ->5-27-1	1.52336->1.83098 0.307618
5-27-1 ->5-27-0	1.83098->2.03112 0.200137
5-27-0 ->5-26-0	2.03112->2.9535 0.922382
5-26-0 ->5-24-0	2.9535->3.52642 0.572919
5-24-0 ->5-22-0	3.52642->3.83259 0.306171
5-22-0 ->5-20-0	3.83259->4.13556 0.302966
5-20-0 ->5-18-0	4.13556->4.43914 0.303584
5-18-0 ->5-16-0	4.43914->4.74718 0.308036
5-16-0 ->5-14-0	4.74718->5.05179 0.30461
5-14-0 ->5-12-0	5.05179->5.35702 0.305229
5-12-0 ->5-10-0	5.35702->5.66735 0.310337
5-10-0 ->5-8-0	5.66735->5.96612 0.298771
5-8-0 ->5-6-0	5.96612->6.26834 0.302216
5-6-0 ->5-3-0	6.26834->7.13139 0.863047
5-3-0 ->4-11-0	7.13139->10.2205 3.08916
4-11-0 ->4-9-0	10.2205->11.2823 1.06176
4-9-0 ->4-8-0	11.2823->12.1619 0.879562
4-8-0 ->4-6-0	12.1619->12.405 0.243165
4-6-0 ->4-3-0	12.405->13.4443 1.03922
4-3-0 ->4-3-1	13.4443->13.813 0.368759
car2:
4-25-0 ->4-23-0	0->0.877833 0.877833
4-23-0 ->4-21-0	0.877833->1.25553 0.377695
4-21-0 ->4-19-0	1.25553->1.6298 0.37427
4-19-0 ->4-17-0	1.6298->2.02161 0.391817
4-17-0 ->4-15-0	2.02161->2.40844 0.386824
4-15-0 ->4-13-0	2.40844->2.7778 0.369362
4-13-0 ->4-11-0	11.4619->14.641 2.48637
4-11-0 ->5-3-0	14.641->18.0833 3.44236
5-3-0 ->5-6-0	18.0833->19.2603 1.17698
5-6-0 ->5-8-0	19.2603->19.86 0.599721
5-8-0 ->5-10-0	19.86->20.2335 0.373464
5-10-0 ->5-11-0	20.2335->21.2531 1.01962
5-11-0 ->5-11-1	21.2531->21.8121 0.558979
5-11-1 ->5-11-2	21.8121->22.1945 0.382379
5-11-2 ->5-11-3	22.1945->22.6307 0.436254
5-11-3 ->5-11-4	22.6307->23.0409 0.410194
5-11-4 ->5-11-5	23.0409->23.4834 0.442496
car3:
