1-1-3 ->1-1-2	0->3.05761 3.05761
1-1-2 ->1-1-1	3.05761->5.72944 2.67183
1-1-1 ->1-1-0	5.72944->7.53201 1.80257
1-1-0 ->6-1-0	7.53201->13.1461 5.61413
6-1-0 ->6-2-0	13.1461->17.6503 4.50413
6-2-0 ->1-2-0	17.6503->22.9592 5.30891
1-2-0 ->6-3-0	22.9592->28.2338 5.2746
6-3-0 ->6-4-0	28.2338->61.7476 33.5138
6-4-0 ->6-5-0	61.7476->69.8124 8.06483
6-5-0 ->6-6-0	69.8124->112.35 42.538
6-6-0 ->6-7-0	112.35->127.132 14.7811
6-7-0 ->6-8-0	127.132->136.617 9.48509
6-8-0 ->6-9-0	136.617->162.998 26.3813
6-9-0 ->6-10-0	162.998->173.038 10.0397
6-10-0 ->6-11-0	173.038->193.798 20.7604
6-11-0 ->5-1-0	193.798->201.726 7.92827
5-1-0 ->5-2-0	201.726->213.152 11.4261
5-2-0 ->5-4-0	213.152->216.576 3.42374
5-4-0 ->5-5-0	216.576->222.152 5.5761
5-5-0 ->5-5-1	222.152->224.139 1.987
5-5-1 ->5-5-2	224.139->226.635 2.49547
5-5-2 ->5-5-3	226.635->229.543 2.90793
5-5-3 ->5-5-4	229.543->232.331 2.78832
5-5-4 ->5-5-5	232.331->235.26 2.92898
car1:
1-2-3 ->1-2-2	0->4.53634 4.53634
1-2-2 ->1-2-1	4.53634->8.54389 4.00755
1-2-1 ->1-2-0	20.6411->23.3449 2.70383
1-2-0 ->6-3-0	23.3449->30.3419 6.99705
6-3-0 ->6-4-0	30.3419->80.4763 50.1344
6-4-0 ->6-5-0	80.4763->92.5735 12.0972
6-5-0 ->6-6-0	92.5735->156.38 63.807
6-6-0 ->6-7-0	156.38->178.552 22.1716
6-7-0 ->6-8-0	178.552->192.78 14.2276
6-8-0 ->6-9-0	192.78->232.352 39.572
6-9-0 ->6-10-0	232.352->247.411 15.0596
6-10-0 ->6-11-0	247.411->278.552 31.1405
6-11-0 ->5-1-0	278.552->290.311 11.7589
5-1-0 ->5-2-0	290.311->307.288 16.9773
5-2-0 ->5-4-0	307.288->312.424 5.13561
5-4-0 ->5-6-0	312.424->316.837 4.41306
5-6-0 ->5-8-0	316.837->320.614 3.7777
5-8-0 ->5-10-0	320.614->324.349 3.73464
5-10-0 ->5-12-0	324.349->328.228 3.87921
5-12-0 ->5-14-0	328.228->332.044 3.81536
5-14-0 ->5-16-0	332.044->335.851 3.80762
5-16-0 ->5-18-0	335.851->339.702 3.85045
5-18-0 ->5-20-0	339.702->343.497 3.7948
5-20-0 ->5-22-0	343.497->347.284 3.78708
5-22-0 ->5-24-0	347.284->351.111 3.82714
5-24-0 ->5-26-0	351.111->354.874 3.76331
5-26-0 ->5-28-0	354.874->358.697 3.82301
5-28-0 ->5-29-0	358.697->366.366 7.66912
5-29-0 ->5-29-1	366.366->369.126 2.75936
5-29-1 ->5-29-2	369.126->373.019 3.89329
5-29-2 ->5-29-3	373.019->377.339 4.32047
5-29-3 ->5-29-4	377.339->381.705 4.36577
5-29-4 ->5-29-5	381.705->385.843 4.13749
car2:
7-5-0 ->7-7-0	0->3.01881 3.01881
7-7-0 ->7-8-0	3.01881->14.51 11.4912
7-8-0 ->6-8-0	14.51->26.4485 11.9385
6-8-0 ->6-9-0	26.4485->66.265 39.8165
6-9-0 ->4-1-0	66.265->80.5284 14.2634
4-1-0 ->4-2-0	80.5284->83.2382 2.70983
4-2-0 ->4-4-0	83.2382->86.7878 3.54956
4-4-0 ->4-5-0	86.7878->95.3397 8.55189
4-5-0 ->4-5-1	95.3397->97.8668 2.52708
car3:
